track_name;artist(s)_name;artist_count;released_year;streams;danceability_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
Seven (feat. Latto) (Explicit Ver.);Latto, Jung Kook;2;2023;141381703;80;83;31;0;8;4
LALA;Myke Towers;1;2023;133716286;71;74;7;0;10;4
vampire;Olivia Rodrigo;1;2023;140003974;51;53;17;0;31;6
Cruel Summer;Taylor Swift;1;2019;800840817;55;72;11;0;11;15
WHERE SHE GOES;Bad Bunny;1;2023;303236322;65;80;14;63;11;6
Sprinter;Dave, Central Cee;2;2023;183706234;92;58;19;0;8;24
Ella Baila Sola;Eslabon Armado, Peso Pluma;2;2023;725980112;67;76;48;0;8;3
Columbia;Quevedo;1;2023;58149378;67;71;37;0;11;4
fukumean;Gunna;1;2023;95217315;85;62;12;0;28;9
La Bebe - Remix;Peso Pluma, Yng Lvcas;2;2023;553634067;81;48;21;0;8;33
un x100to;Bad Bunny, Grupo Frontera;2;2023;505671438;57;72;23;0;27;5
Super Shy;NewJeans;1;2023;58255150;78;82;18;0;15;7
Flowers;Miley Cyrus;1;2023;1316855716;71;68;6;0;3;7
Daylight;David Kushner;1;2023;387570742;51;43;83;0;9;3
As It Was;Harry Styles;1;2022;2513188493;52;73;34;0;31;6
Kill Bill;SZA;1;2022;1163093654;64;73;5;17;16;4
Cupid - Twin Ver.;Fifty Fifty;1;2023;496795686;78;59;43;0;34;3
"What Was I Made For? [From The Motion Picture ""Barbie""]";Billie Eilish;1;2023;30546883;44;9;96;0;10;3
Classy 101;Feid, Young Miko;2;2023;335222234;86;66;14;0;12;16
Like Crazy;Jimin;1;2023;363369738;63;73;0;0;36;4
LADY GAGA;Gabito Ballesteros, Junior H, Peso Pluma;3;2023;86444842;65;74;22;0;42;4
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ;Taylor Swift;1;2023;52135248;69;76;6;0;6;3
I Wanna Be Yours;Arctic Monkeys;1;2013;1297026226;48;42;12;2;11;3
Peso Pluma: Bzrp Music Sessions, Vol. 55;Bizarrap, Peso Pluma;2;2023;200647221;85;67;26;0;12;5
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series);The Weeknd, Madonna, Playboi Carti;3;2023;115364561;85;68;7;0;36;20
SABOR FRESA;Fuerza Regida;1;2023;78300654;79;86;9;0;9;9
Calm Down (with Selena Gomez);Rï¿½ï¿½ma, Selena G;2;2022;899183384;80;80;43;0;14;4
